;Dom�sticas;Internacionais;Total
18 de set;-26;-67;-42
19 de set;-31;-67;-45
20 de set;-32;-68;-47
21 de set;-32;-68;-45
22 de set;-31;-70;-46
23 de set;-30;-69;-45
24 de set;-22;-66;-39
25 de set;-19;-64;-36
26 de set;-18;-67;-37
27 de set;-21;-67;-40
28 de set;-23;-71;-41
29 de set;-28;-72;-45
30 de set;-24;-73;-43
01 de out;-19;-69;-38
02 de out;-19;-70;-38
03 de out;-13;-67;-33
04 de out;-17;-66;-36
05 de out;-14;-68;-34
06 de out;-16;-70;-36
07 de out;-12;-69;-33
08 de out;-10;-66;-30
09 de out;-7;-65;-28
10 de out;-15;-69;-36
11 de out;-24;-70;-42
12 de out;-28;-69;-43
13 de out;-14;-70;-35
14 de out;-13;-69;-34
15 de out;-11;-69;-32
16 de out;-9;-70;-32
17 de out;-22;-70;-41
18 de out;-20;-71;-41
19 de out;-19;-71;-39
20 de out;-18;-73;-39
21 de out;-17;-72;-39
22 de out;-17;-76;-42
